Company,Description,Jobtype,Location,Logo,Merges,Skill,Title,CoIndustry,CoWebsite
Ajulia Executive Search,"Get similar jobs sent to your emailGet similar jobs sent to your emailInvestor relationsCareersMedia Home Group Commitments Expertise Innovation Products Contact HomeCareersPlant Manager Job offer details 17 February 2015 Plant Manager United States - Watertown - General Management - Permanent Job description Albea is a global leader in cosmetic packaging with offices and manufacturing sites in Europe, Asia and Americas. Our teams work in a cross-functional way, using all kinds of competencies, our own and those of our suppliers and partners. Together the people of Albea make a strong, united and successful team of committed  professionals. Engaged in both daily work and with the fast changing world , the men and women  of Albea always strive for the optimal solution to every task at hand. Our vision ""Be the best global packaging company in the eyes of our people, customers and shareholders."" We have a great opportunity for a Plant Manager in our Watertown, CT site. MAIN ACCOUNTABILITIES Guarantees the increase of the operational result of the plant by improving the efficiency of the existing equipment, increasing the output, Continuous Improvement transformation and cost reduction. Guarantees the development of the business by understanding customers’ explicit or implicit needs to build the appropriate offer with the Sales Team. Guarantees the achievement of 0 accidents. Guarantees the achievement of monthly results : volume, stock, EBITDA. Guarantees the improvement of the reputation of the plant in the eyes of the customers by a reliable new product development process, and a continuous improvement of quality and SC indicators. Guarantees the engagement of the teams and the implementation of  a culture of change and Customer First. KEY CHALLENGES Management of immediate recovery if any deviation on results vs. budget : ability to find immediate actions and adjust the structure to the business if necessary Engagement of the teams: alignment on the objectives, commitment, culture, values. Management of employee/labor relations Launch of new products/process on time, in budget, with level expected of quality and efficiency Embrace Continuous Improvement culture and Lean to Win program. Successful long-term implementation of ERP system. KEY COMPETENCIES Leading Engagement-Seeing, respecting, and developing the talents of others to increase both individual motivation and organizational performance Focusing Customer Value -Striving to flexibly create customer value by continually learning about specific present and future needs, making compelling offerings and building loyal customer relationships Focusing on Results-Taking action readily with a pragmatic focus on finishing tasks, quickly making decisions and following through until results are achieved Leading Change -Engaging stakeholders in creating and implementing change processes by establishing urgency, effective communication, a common vision, and shared understanding as well as early wins, including role modeling the changes Setting Key Priorities-Deciding when to focus on which key short- and long-term issues to effectively spend own and others’ limited time for dealing with especially urgent or critical matters     Environment and scope of the position Albea Metal Americas is located in Watertown Connecticut and is a manufacturing facility for the Dispensing business group. This position reports directly to the EVP of Manufacturing. Main activities Lead the transformation of the business through employee engagement to achieve 3 year profit targets. Define the strategic objectives for the plant and build the operating agenda. Define and implement the appropriate organization. Build, manage and develop the team: performance evaluation, development of competencies, etc. Define the EHS policy and action plans for the plant and lead the EHS committee. Drive the management committee of the plant and set-up routines and governance. Take appropriate actions in case of deviation of the results.  Supervise Supply Chain process to meet lead time requirements and control the inventory. Implement a sustainable quality system and drive the quality organization. Define the continuous improvement priorities and drive the Lean to Win deployment. Manage the workforce : define the needs, adapt the workforce to the business, identify the needs of competencies. As a member of the cluster management committee, contributes to the strategy of the Cluster and bring support to other plants if needed. Desired profile A track record in plant management with experience in a manufacturing environment with fast moving environment and high standards and systems for quality and Continuous Improvement. Experience in a multi-national company with complex matrix organization Experience in metal stamping would be a plus Experience of plastic industry and/or cosmetic industry would be a plus. Experience Interacting with key customers.   Back to result Send your application  Attachments*Browse... Select your area *    Generate a new captcha What code is in the image? *  Enter the characters shown in the image.  Share with a friend BACK TO TOP Contact us Browse our catalog     
Help us improve CareerBuilder by providing feedback about this job:Job ID: 38
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Work From Home,https://www.careerbuilder.com/cdn/optimized/us-production/1eca9cbdb5b2521371e58427342438f8.jpg,https://www.careerbuilder.com/company/ajulia-executive-search/C302D16HKNV9D4PWH0Q,#Performance Appraisal#Employee Engagement#New Product Development#Cost Reduction#Matrix Management#Labor Relations,Plant Manager,Employment - Recruiting - Staffing,https://www.careerbuilder.com/job/J3Q4R66DWFYCP7VND7G?ipath=CRJR24
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your emailAre members of the interdisciplinary team who provide hands-on personal care, report changes in the client’s condition, perform simple procedures as an extension of therapy or nursing services, and provide incidental/instrumental activities of daily living to clients in the home setting as evaluated/delegated and as permitted by the policies and procedures of Interim HealthCare and any other federal, state and local law or regulation.This job description for a Personal Care Aide may be used  in the following situations: 
Help us improve CareerBuilder by providing feedback about this job:Job ID: 433399
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default5-8e8a7d2224a22a7f1fe290c8d9116f74cce0e7e9956afcdfbb765cb094b270f2.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Licensed Practical Nurse#Personal Care#Nursing#Socialization#Licensed Vocational Nurses#Registered Nurse Certified,Personal Care Aide,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your email is looking for a  to join our growing team to attend school with a child for Fall 2020. Due to the ever changing school structures, home-bound care will also be provided. Allowing for 5 days a week coverage.Full Time | Monday through Friday | 8 AM to 2:30 PM | Scranton, pa $25.00 / hour
Help us improve CareerBuilder by providing feedback about this job:Job ID: 452019
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Clinical Works#Home Care#Licensed Practical Nurse#Long Term Care#Emergency Handling#Diseases And Disorders,Licensed Practical Nurse (LPN) | School Setting,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your emailThe Registered Nurse (RN) provides services and/or treatments requiring substantial and specialized nursing skill and provides effective and efficient patient care in accordance with applicable law and regulations, accepted standards of nursing practice, payor requirements and Interim HealthCare policies and procedures. 
Help us improve CareerBuilder by providing feedback about this job:Job ID: 435731
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Caregiving#Health Care#Nursing#Scheduling#Registered Nurse Certified#Decision Making,Home Health Registered Nurse,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your email is currently hiring  for our Pike County Ohio office.  Why work for ?Here is what we offer to our :Here's what some of our  say about working for  EOEAre members of the interdisciplinary team who provide hands-on personal care, report changes in the patient’s/client’s condition, perform simple procedures as an extension of therapy or nursing services, and provide incidental/instrumental activities of daily living as assigned to patients/clients in the home setting as permitted by the policies and procedures of Interim HealthCare and any other federal, state and local law or regulation.            
Help us improve CareerBuilder by providing feedback about this job:Job ID: 443882
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Licensed Practical Nurse#Licensed Vocational Nurses#Registered Nurse Certified#Personal Care#Nursing#Scheduling,Home Health Aide,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your email The Certified Nursing Assistant and Nurse Aide is responsible for the tasks of personal care and incidental activities of daily living for patients of all ages in inpatient facilities such as hospitals, nursing homes and other institutions. Performs care and delegated tasks as directed by the nursing plan of care and/or supervisor as permitted by policies and procedures of the facility and allowed under state law/regulation. 
Help us improve CareerBuilder by providing feedback about this job:Job ID: 437918
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Certified Nursing Assistant#Licensed Practical Nurse#Registered Nurse Certified#Licensed Vocational Nurses#Cardiopulmonary Resuscitation#Infection Control,Certified Nursing Assistant Staffing,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your emailInterim Health Care of San Gabriel Valley is looking for skilled  to join our fast growing IV Therapy Team.  Most of our team members are Per Diem and have other full-time jobs.  If you are looking for flexibility and an opportunity to get back to one on one patient care in a home setting, this is the job for you.  Also, there is NO OASIS!  Our documentation is much more stream lined, so you won't be bogged down doing paperwork into the wee hours of the night!  All we require are above average IV access skills and preferably knowledge and experience with administering IV Antibiotics (ABX) and Immunoglobulin (IVIG) therapies.  We also do some hydration and TPN, however most of our work is ABX and IVIG.  We will give you the opportunity to shadow our existing team members so that you are comfortable with our process and we can make sure we are a good mutual fit.  It is very important that you enjoy this work.  Happy Nurses make for Happy Clients.  This is what we strive for every day! 
Help us improve CareerBuilder by providing feedback about this job:Job ID: 450717
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Oncology#Nursing Process#Intensive Care Unit#Board Certified#Critical Care#Basic Life Support,IV THERAPY RN,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your emailTo provide personal care and incidental activities of daily living to clients in the home setting as permitted by federal and state law and regulations. 
Help us improve CareerBuilder by providing feedback about this job:Job ID: 444757
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Infection Control#Personal Care#Insurance#Intake#Health Care#Debits And Credits,Care Aide,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your email is currently hiring  for our Pike County Ohio office.  Why work for ?Here is what we offer to our :Here's what some of our  say about working for  EOEAre members of the interdisciplinary team who provide hands-on personal care, report changes in the patient’s/client’s condition, perform simple procedures as an extension of therapy or nursing services, and provide incidental/instrumental activities of daily living as assigned to patients/clients in the home setting as permitted by the policies and procedures of Interim HealthCare and any other federal, state and local law or regulation.            
Help us improve CareerBuilder by providing feedback about this job:Job ID: 443882
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default2-bd8c6d17bb86a865779a69ea7731fd5bb86183b048a23de8a664038f54eba104.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Licensed Practical Nurse#Licensed Vocational Nurses#Registered Nurse Certified#Personal Care#Nursing#Scheduling,Home Health Aide,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
Interim HealthCare,"Get similar jobs sent to your emailGet similar jobs sent to your emailInterim Health Care of San Gabriel Valley is looking for skilled  to join our fast growing IV Therapy Team.  Most of our team members are Per Diem and have other full-time jobs.  If you are looking for flexibility and an opportunity to get back to one on one patient care in a home setting, this is the job for you.  Also, there is NO OASIS!  Our documentation is much more stream lined, so you won't be bogged down doing paperwork into the wee hours of the night!  All we require are above average IV access skills and preferably knowledge and experience with administering IV Antibiotics (ABX) and Immunoglobulin (IVIG) therapies.  We also do some hydration and TPN, however most of our work is ABX and IVIG.  We will give you the opportunity to shadow our existing team members so that you are comfortable with our process and we can make sure we are a good mutual fit.  It is very important that you enjoy this work.  Happy Nurses make for Happy Clients.  This is what we strive for every day! 
Help us improve CareerBuilder by providing feedback about this job:Job ID: 450717
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Work From Home,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default2-bd8c6d17bb86a865779a69ea7731fd5bb86183b048a23de8a664038f54eba104.png,https://www.careerbuilder.com/company/interim-healthcare/CHS3CG6N5TLVCG6QVDS,#Oncology#Nursing Process#Intensive Care Unit#Board Certified#Critical Care#Basic Life Support,IV THERAPY RN,Healthcare - Health Services,https://www.careerbuilder.com/job/J3M33J6SG4VJN60NBP7?ipath=CRJR20
