ApplyLink,Company,Description,Jobtype,Location,Logo,Merges,Skill,Title
https://www.careerbuilder.com/job/J3M5P76MHY261BQH947?ipath=CRJR11,Advance Auto Parts,"Get similar jobs sent to your emailGet similar jobs sent to your emailWe are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.What is a Store Driver?Entry level store position capable of supporting delivery of parts to commercial customers. The role has the responsibility to deliver parts to our commercial customers and assist with task and inventory processes in the store. This position can be part time or full time and must be fleet safety certified.Primary Responsibilities• Safely deliver parts to customers as needed• Pick and stage parts for customer orders• Pick up returns and cores• Drop off weekly / monthly sales flyer• Daily collection of credit accountsSecondary Responsibilities• Store Cleanliness including floors, bathrooms, facing, dusting, parking lot• General stocking including truck stocking and back stockSuccess Factors• Basic driving and navigation ability• Ability to use delivery board system• Friendly communication• Ability to locate and stock parts• Safety knowledge and skills• Operating inventory systems (Back stock) and store equipmentEssential Job Skills Necessary for Success as a Driver• Communicate effectively and build strong relationships with customers, peers and management• Read and interpret documents such as safety rules, operating and maintenance instructions, parts catalogs, and procedure manuals• Use basic math accurately: add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals• Ability to work an assortment of days, evenings, and weekends as neededPrior Experience that Sets a Driver up for SuccessAutomotive parts experience is preferredCertificates, Licenses, RegistrationsMust have a valid driver's license and be fleet safety certifiedPhysical DemandsThe physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee will predominantly be walking or standing. The employee is required to be able to talk and hear, and use hands and fingers to handle or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, depth perception, and ability to adjust focus.Work EnvironmentThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee is usually working inside; however, they will occasionally be outside and exposed to various weather conditions while performing such tasks as installing batteries and wiper blades. The employee is also occasionally exposed to moving mechanical parts; high, precarious places; toxic or caustic chemicals; risk of electrical shock; explosives; and vibration. The noise level in the work environment is usually moderate.We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.
Help us improve CareerBuilder by providing feedback about this job:Job ID: R-0110837
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Pagosa Springs,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default1-7df719a90b0e2258adfb41fbed2276da603bf1204f7b44d20bcd874c2e3f2c63.png,https://www.careerbuilder.com/company/advance-auto-parts/C25PT733PD96281SBF,#Navigation#Management#Cataloguing#Driving#Accounting Record Management System,delivery driver
https://www.careerbuilder.com/job/J3T17T71L9N2TSRRB0Z?ipath=CRJR7,Advance Auto Parts,"Get similar jobs sent to your emailGet similar jobs sent to your emailWhat is a General Manager?A General Manager must be committed to inspiring our team, helping our Customers succeed and growing our business with integrity. Professional level sales and management position capable of supporting functions on both sides of the business. The role requires understanding of store systems, automotive systems, parts knowledge and has the ability to identify, troubleshoot and project assist for DIY. Responsible for developing and maintaining Professional Customer relationships and program growth. Is accountable for achieving financial metrics and maintaining service and appearance standards. Position is exempt and requires a minimum of 50-55 hours per week (excluding meal break periods). The average schedule is 5-6 days a week, 11 hour shifts, including rotating nights and weekends, with an hour for lunch. Additional hours may be required based on staffing, store conditions, sales to target, and other business demands. General Managers are required to work a schedule based on the needs of the business.Primary ResponsibilitiesSecondary ResponsibilitiesSuccess FactorsEssential Job Skills Necessary for Success as a General ManagerEducationHigh school diploma or general education degree (GED), Bachelor’s degree in business or a related area preferred.Certificates, Licenses, RegistrationsPhysical DemandsThe physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee will predominantly be walking or standing. The employee is required to be able to talk and hear, and use hands and fingers to handle or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, depth perception and ability to adjust focus.Work EnvironmentThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee is usually working inside; however, they will occasionally be outside and exposed to various weather conditions while performing such tasks as installing batteries and wiper blades. The employee is also occasionally exposed to moving mechanical parts; high, precarious places; toxic or caustic chemicals; risk of electrical shock; explosives; and vibration. The noise level in the work environment is usually moderate.
Help us improve CareerBuilder by providing feedback about this job:Job ID: R-0120166
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Pagosa Springs,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,https://www.careerbuilder.com/company/advance-auto-parts/C25PT733PD96281SBF,#Scheduling#Recruitment#Sales#Sourcing (Recruitment)#Spanish Language#English Language,"General Manager II -Store (5748) Pagosa Springs, CO"
https://www.careerbuilder.com/job/J3S76Q6MY44QGP5ZQ0Y?ipath=CRJR10,Advance Auto Parts,"Get similar jobs sent to your emailGet similar jobs sent to your emailWe are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.Advanced level DIY sales position with expert knowledge of DIY business. The role has expert knowledge of store operations, advanced automotive system knowledge and parts knowledge. This role is responsible for providing advanced automotive problem resolution including identification, trouble shooting and project assistance for DIY customers. The role has the ability to source from numerous places including special order, FDO, second source, etc. The role has in-depth knowledge of the store inventory and maintenance processes. Fleet safety is preferred.Primary Responsibilities• Best in class customer service and DIY issue resolution• Provide GAS3 selling experience for all DIY customers including walk-in, on-line orders and phone• Achieve personal / store sales goals and service objectives• Manage DIY services including testing, battery installation, wiper installs, etc.• Ensure high standards of customer service and store appearance standards• Key holder responsibilities (task assignment and completion, safety, open/close duties)Secondary Responsibilities• Assist in store inventory processes including POGs, truck put away, shoot outs, cycle counts, back stock, etc.• Back Up to Professional services• Store Cleanliness including floors, bathrooms, facing, dusting, parking lotSuccess Factors• Advanced selling skills (GAS3) for DIY• Friendly communication• Ability to locate and stock parts• Safety knowledge and skills• Operating inventory systems and store equipment• Parts and automotive system knowledge skills• Operating POS and Parts lookup systems• Expert at testing and diagnostic equipment for DIY services• ASE P2 certified or ASE ready equivalent• Advanced solution, project and product quality recommendation ability• Advanced parts lookup and sourcingEssential Job Skills Necessary for Success as a Retail Parts Pro• Working knowledge of automotive systems, and diagnostic ability to include: internal engine, suspension, brakes, electronic, exhaust, etc.• Speak and write English (Spanish a plus); communicate effectively and build strong relationships with customers, peers and management• Ability to read and interpret documents such as safety rules, operating and maintenance instructions, parts catalogs, and procedure manuals; ability to write simple correspondence• Understand and execute instructions furnished in written, oral, or diagram form• Successfully complete the Parts Knowledge Assessment• Use basic math accurately: add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals• Use Microsoft software effectively (Word, Excel required)• Strong organizational skills• Ability to work an assortment of days, evenings, weekends and holidays as neededPrior Experience that Sets a Retail Parts Pro up for Success• 3-5 years of prior automotive parts experience• Proven sales ability with past experience in fulfillment of customer transactionsEducation• High school diploma or general education degree (GED)Certificates, Licenses, Registrations• ASE certification preferred, but not requiredPhysical DemandsThe physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee will predominantly be walking or standing. The employee is required to be able to talk and hear, and use hands and fingers to handle or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, depth perception, and ability to adjust focus.Work EnvironmentThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee is usually working inside; however, they will occasionally be outside and exposed to various weather conditions while performing such tasks as installing batteries and wiper blades. The employee is also occasionally exposed to moving mechanical parts; high, precarious places; toxic or caustic chemicals; risk of electrical shock; explosives; and vibration. The noise level in the work environment is usually moderate.We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.
Help us improve CareerBuilder by providing feedback about this job:Job ID: R-0118411
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Pagosa Springs,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default5-8e8a7d2224a22a7f1fe290c8d9116f74cce0e7e9956afcdfbb765cb094b270f2.png,https://www.careerbuilder.com/company/advance-auto-parts/C25PT733PD96281SBF,#Retailing#Professional Services#Installations (Manual/Mechanical)#Brakes#Management#Suspension (Vehicle),Sales Pro
https://www.careerbuilder.com/job/J3T1SF781JBDZSQWKJX?ipath=CRJR1,Driveline Retail,"Get similar jobs sent to your emailGet similar jobs sent to your emailDo you want to work, but wish you had some flexibility in when you did your work? We are currently hiring people like you to join our team of over 15,000 Retail Merchandisers that offer our customers the ability to reach almost every retail location in the United States and its territories.Driveline is proud to be one of the largest fully W-2 merchandising employers in the country. Industry leading software allows our merchandisers to choose the projects that fit them. Most projects allow for “week of scheduling.” This means that you pick the day and time that works for your schedule. Available assignments range in length from 15 minutes to multi day.

•        Read and acknowledge all scheduled plans prior to plan start date

•        Review all plan materials prior to conducting merchandising activities

•        Visit and complete work on the scheduled date of each plan

•        Take plans, eReporting worksheets, and all other applicable materials on every scheduled store visit

•        Restock merchandise

•        Build displays

•        Audit stock

•        Photograph displays

•        Report store visit and activity the same day as the visit

•        Return any paperwork or materials as indicated in the plan

•        Develop and maintain a positive working relationship with key store personnel

•        Utilize company provided hand-held device for retail data collection

•        Other Duties as assigned
Help us improve CareerBuilder by providing feedback about this job:Job ID: Sep112020_TN2721
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Pagosa Springs,https://www.careerbuilder.com/cdn/optimized/us-production/7d16f1df7e446dc8d59491c5172ecbea.jpg,https://www.careerbuilder.com/company/driveline-retail/CHR7386PZ4M2748QZJF,#Displaying (Exhibition)#Retailing#Merchandising#Customer Service#Communication,Retail Merchandiser
https://www.careerbuilder.com/job/J3Q7TV734B715JKZ3W1?ipath=CRJR9,Wells Fargo,"Get similar jobs sent to your emailGet similar jobs sent to your emailImportant Note: If you are selected to move forward in the process, next steps for this job may include an on-line assessment and a video screen.  Please make sure your profile includes a current email address that you check regularly (including your spam folder) as the invitations for these activities will be emailed to you.  For internal candidates, you must apply via the Jobs site on Teamworks or Teamworks at Home and please ensure your profile lists a personal (external) email address as your primary email address so you can receive communications and complete these potential activities. Please refer to the Team Member Handbook for more information on the Internal Job Opportunities Process.To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message.  In order to receive text message invitations, your profile must include a mobile phone number designated as 'Personal Cell' or 'Cellular' in the contact information of your application.At Wells Fargo, we want to satisfy our customers' financial needs and help them succeed financially. We're looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you'll feel valued and inspired to contribute your unique skills and experience.Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.Consumer and Small Business Banking is at the center of our efforts to rebuild trust and transform the way we serve our customers and clients. The Consumer and Small Business Banking organization is focused on innovating and transforming our business with the customer at the center, better enabling customers to engage with us how, when, and wherever they choose through a broad suite of financial products and services. While we are pleased to be an industry leader in many consumer and small business areas, including retail deposits, debit card transaction and purchase volume, and small business lending, our primary goal is delivering for our customers. Our market positions are an outcome of great work by employees who are committed to serving our customers.As a teller at Wells Fargo you will spend your time interacting with customers focused on providing exceptional customer service and building relationships.  You will engage customers in conversations and share ways Wells Fargo can help to meet their financial needs.Your responsibilities include:• Engaging customers in conversations, listening to them, and proactively helping to meet their financial needs • Asking questions to get to know the customer to build relationships• Introducing customers to another branch team member or sharing digital options that may make banking easier for them. • Working as a part of a team to help customers succeed financially• Following policies and procedures to minimize risk• Accurately and efficiently processing transactions• Maintaining a cash drawer including taking in and giving out cash and balancingPlease note: Based on the volume of applications received, this job posting may be removed prior to the indicated close date.   If you do not apply prior to the closing of this posting, we encourage you to apply for other opportunities with Wells Fargo.Position requires full-time training for 3 weeks. Training schedule is as follows: Monday – Friday – 8:30am – 5:00pm.50 Harman Park Drive - Pagosa Springs, COAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.
Help us improve CareerBuilder by providing feedback about this job:Job ID: 5552108
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Part-Time,Pagosa Springs,https://www.careerbuilder.com/cdn/optimized/us-production/603a6c5e606078fac0a75cff1972ed4e.png,https://www.careerbuilder.com/company/wells-fargo/CHS1S76HX9VQ7264M61,#Training#Human Resources#Scheduling#Banking#Job Posting#Benefits Realisation Management,Teller - 20 hours - Pagosa Springs
https://www.careerbuilder.com/job/J3N4DR6NZC2MQP1R9PR?ipath=CRJR3,AEG Vision,"Get similar jobs sent to your emailGet similar jobs sent to your emailDoctor's Assistants work in conjunction with the doctors to perform activities involving patient care, pre-testing, post-exam duties, FDT testing and maintain the doctors appointment schedule in a manner that delivers a professional, pleasurable patient experience.
Help us improve CareerBuilder by providing feedback about this job:Job ID: PGM-CC-9402_5000642766606
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Pagosa Springs,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,https://www.careerbuilder.com#jdp_description,#Patient Information Leaflet#Setting Appointments#Health Care,Doctor Assistant
https://www.careerbuilder.com/job/J3S7Y75X816WRF47VGL?ipath=CRJR8,Wells Fargo,"Get similar jobs sent to your emailGet similar jobs sent to your emailImportant Note: If you are selected to move forward in the process, next steps for this job may include an on-line assessment and a video screen.  Please make sure your profile includes a current email address that you check regularly (including your spam folder) as the invitations for these activities will be emailed to you.  For internal candidates, you must apply via the Jobs site on Teamworks or Teamworks at Home and please ensure your profile lists a personal (external) email address as your primary email address so you can receive communications and complete these potential activities. Please refer to the Team Member Handbook for more information on the Internal Job Opportunities Process.To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message.  In order to receive text message invitations, your profile must include a mobile phone number designated as 'Personal Cell' or 'Cellular' in the contact information of your application.At Wells Fargo, we want to satisfy our customers' financial needs and help them succeed financially. We're looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you'll feel valued and inspired to contribute your unique skills and experience.Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.Consumer and Small Business Banking is at the center of our efforts to rebuild trust and transform the way we serve our customers and clients. The Consumer and Small Business Banking organization is focused on innovating and transforming our business with the customer at the center, better enabling customers to engage with us how, when, and wherever they choose through a broad suite of financial products and services. While we are pleased to be an industry leader in many consumer and small business areas, including retail deposits, debit card transaction and purchase volume, and small business lending, our primary goal is delivering for our customers. Our market positions are an outcome of great work by employees who are committed to serving our customers.As a teller at Wells Fargo you will spend your time interacting with customers focused on providing exceptional customer service and building relationships.  You will engage customers in conversations and share ways Wells Fargo can help to meet their financial needs.Your responsibilities include:• Engaging customers in conversations, listening to them, and proactively helping to meet their financial needs • Asking questions to get to know the customer to build relationships• Introducing customers to another branch team member or sharing digital options that may make banking easier for them. • Working as a part of a team to help customers succeed financially• Following policies and procedures to minimize risk• Accurately and efficiently processing transactions• Maintaining a cash drawer including taking in and giving out cash and balancingPlease note: Based on the volume of applications received, this job posting may be removed prior to the indicated close date.   If you do not apply prior to the closing of this posting, we encourage you to apply for other opportunities with Wells Fargo.Position requires full-time training for 3 weeks. Training schedule is as follows: Monday – Friday – 8:30am – 5:00pm.50 Harman Park Drive - Pagosa Springs, COAll offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.Relevant military experience is considered for veterans and transitioning service men and women.Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.
Help us improve CareerBuilder by providing feedback about this job:Job ID: 5552110
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Pagosa Springs,https://www.careerbuilder.com/cdn/optimized/us-production/603a6c5e606078fac0a75cff1972ed4e.png,https://www.careerbuilder.com/company/wells-fargo/CHS1S76HX9VQ7264M61,#Training#Human Resources#Scheduling#Banking#Job Posting#Benefits Realisation Management,Teller - 30 hours - Pagosa Springs
https://www.careerbuilder.com/job/J3R0T16TFDCG2M2YP96?ipath=CRJR12,Advance Auto Parts,"Get similar jobs sent to your emailGet similar jobs sent to your emailThe Commercial Parts Professional is an advanced level sales position capable of providing expert customer care to professional customers. The position is responsible for profitable growth of the professional business by building lasting relationships with timely automotive solutions and parts.  The role has expert knowledge of automotive systems and part knowledge.  The role has the ability to source from numerous places including special order, FDO, second source, etc. The role has the ability to direct drivers to ensure safe, timely and accurate delivery. Position is full time (PT on exception need basis). MVR certification preferred.

•       Create, build and maintain professional customer relationships

•       Provide GAS3 selling experience to professional customers

•       Ability to achieve profitable sales and margins 

•       Achieve personal and store sales goals and service objectives

•       Dispatch drivers ensuring delivery standards are achieved

•       Maintain commercial stocking programs

•       Build and maintain a network of second source suppliers

•       Partner with GM to ensure proper driver coverage

•       Maintain core bank and commercial returns

•       Maintain commercial credit accounts

•       Partner with CAM and CSM for customer and territory alignment

•       High customer retention

•       Ability to locate and stock parts

•       Safety knowledge and skills

•       Operating inventory systems and store equipment

•       Parts and automotive system knowledge skills

•       Operating POS and Parts lookup systems

•       ASE P2 certified or ASE ready equivalent 

•       Advanced solution, project and product quality recommendation ability

•       Ability to source from numerous places including special order, FDO,    second source, etc.

•       Advanced selling skills for commercial customers

•       Ability to multi-task and remain organized

•       Effective communication, listening and problem solving skills 

•       Working knowledge of automotive systems, and diagnostic ability to include: Ignition, internal engine, suspension, brakes, electronic, exhaust, etc.

•       Speak and write English (Spanish a plus)

•       The Ability to communicate effectively and build strong relationships with customers, peers and management

•       Ability to read and interpret documents such as P&L, safety rules, operating and maintenance instructions, parts catalogs, and procedure manuals; ability to write simple correspondence

•       Understand and execute instructions furnished in written, oral, or diagram form

•       Successfully complete the Parts Knowledge Assessment

•       Use basic math accurately: add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals

•       Familiarity with the Microsoft Office Suite (i.e. Word, Excel)

•       Strong organizational skills

•       Understand Commercial profitability concepts, including knowledge of competition, market opportunities, and customer prioritization (may work with the Commercial Account Manager to determine pricing discounts for specific Commercial customers)

•       Ability to work an assortment of days, evenings, and weekends as neededA minimum of 3 years of prior automotive parts experience preferredProven sales ability with past experience in fulfillment of customer transactionsHigh school diploma or general education degree (GED)ASE certification preferred, but not requiredThe physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee will predominantly be walking or standing. The employee is required to be able to talk and hear, and use hands and fingers to handle or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, depth perception, and ability to adjust focus.The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee is usually working inside; however, they will occasionally be outside and exposed to various weather conditions while performing such tasks as installing batteries and wiper blades. The employee is also occasionally exposed to moving mechanical parts; high, precarious places; toxic or caustic chemicals; risk of electrical shock; explosives; and vibration. The noise level in the work environment is usually moderate.
Help us improve CareerBuilder by providing feedback about this job:Job ID: R-0110841
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Pagosa Springs,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default5-8e8a7d2224a22a7f1fe290c8d9116f74cce0e7e9956afcdfbb765cb094b270f2.png,https://www.careerbuilder.com/company/advance-auto-parts/C25PT733PD96281SBF,#Brakes#Suspension (Vehicle)#Customer Service#Customer Retention#Selling Techniques#Spanish Language,Commercial Parts Pro
https://www.careerbuilder.com/job/J3M53H5YQFDNM2ZZQDQ?ipath=CRJR5,AEG Vision,"Get similar jobs sent to your emailGet similar jobs sent to your emailPatient Care Coordinators are responsible for providing exceptional service by welcoming our patients and ensuring all check-in and checkout processes are completed.
Help us improve CareerBuilder by providing feedback about this job:Job ID: PGM-CC-9402_5000625665706
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Full-Time,Pagosa Springs,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,https://www.careerbuilder.com#jdp_description,#Health Insurance#Claims#Scheduling,Patient Care Coordinator
https://www.careerbuilder.com/job/J3T51862QRSJQBJGMLY?ipath=CRJR6,CareStaff Partners,"Get similar jobs sent to your emailGet similar jobs sent to your email is seeking a  for a critical travel or local contract position with ain Pagosa Springs
Help us improve CareerBuilder by providing feedback about this job:Job ID: 62742
For your,
By applying to a job using CareerBuilder you are agreeing to comply with and be subject to the CareerBuilder
for use of our website. To use our website, you must agree with the
and both meet and comply with their provisions.",Contractor,Pagosa Springs,https://www.careerbuilder.com/cdn/optimized/us-production/8e496187dbc512e6e7286d096f3b03c9.jpg,https://www.careerbuilder.com#jdp_description,#Electronic Medical Record#Nursing#Diseases And Disorders#Long Term Care#Maintain Patient Confidentiality#Administer Medication,Temp/Travel- Licensed Practical Nurse (LPN) SNF (NIGHT)
