ApplyLink,Company,Description,Jobtype,Location,Logo,Skill,Title
https://www.careerbuilder.com/job/J3T51862QRSJQBJGMLY?ipath=CRJR1,CareStaff Partners," is seeking a  for a critical travel or local contract position with ain Pagosa SpringsSpecialty: Pay: $28-30 Gross Hourly Blended Rate Setting:Patient Population:Start Date:ASAPHours Per Week:ShiftContract Length:  8 Licensure/Certification Required: Colorado Nursing LicenseExperience Required: 1Join a Family Oriented Team that is Passionate about the mutual goal of finding the right local or travel contract position for You and Your Family!Seamless Communication and Ongoing Support from your:Recruiters with Extensive Staffing Industry KnowledgeProven Track Record of Recruiting Excellence in HealthcareProud to Offer SAME DAY Medical Insurance - Dental and VisionSupplemental Options Including, but not limited to - Industry Competitive Pay PackagesTax-free allowances available on travel contractsRound Trip Travel Pay to and from AssignmentGuaranteed Hours on most ContractsWeekly Direct DepositDiscounted CEU AccessLicensure ReimbursementCompetitive and Timely Paid Referral Bonuses
Think you're the perfect candidate?
IND-3
Think you're the perfect candidate? Licensed Practical Nurse (LPN) Skilled Nursing Facility (SNF) Adult and Geriatric (19-65+)  36: Nights 12'sWeeks year of prior Post-Acute Care in a Skilled Nursing Facility required. 
	
	

	
	",Contractor,"Pagosa Springs, CO",https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,,Temp/Travel- Licensed Practical Nurse (LPN) SNF (NIGHT)
https://www.careerbuilder.com/job/J3R0T16TFDCG2M2YP96?ipath=CRJR13,Advance Auto Parts,"The Commercial Parts Professional is an advanced level sales position capable of providing expert customer care to professional customers. The position is responsible for profitable growth of the professional business by building lasting relationships with timely automotive solutions and parts.  The role has expert knowledge of automotive systems and part knowledge.  The role has the ability to source from numerous places including special order, FDO, second source, etc. The role has the ability to direct drivers to ensure safe, timely and accurate delivery. Position is full time (PT on exception need basis). MVR certification preferred.

•       Create, build and maintain professional customer relationships

•       Provide GAS3 selling experience to professional customers

•       Ability to achieve profitable sales and margins 

•       Achieve personal and store sales goals and service objectives

•       Dispatch drivers ensuring delivery standards are achieved

•       Maintain commercial stocking programs

•       Build and maintain a network of second source suppliers

•       Partner with GM to ensure proper driver coverage

•       Maintain core bank and commercial returns

•       Maintain commercial credit accounts

•       Partner with CAM and CSM for customer and territory alignment

•       High customer retention

•       Ability to locate and stock parts

•       Safety knowledge and skills

•       Operating inventory systems and store equipment

•       Parts and automotive system knowledge skills

•       Operating POS and Parts lookup systems

•       ASE P2 certified or ASE ready equivalent 

•       Advanced solution, project and product quality recommendation ability

•       Ability to source from numerous places including special order, FDO,    second source, etc.

•       Advanced selling skills for commercial customers

•       Ability to multi-task and remain organized

•       Effective communication, listening and problem solving skills 

•       Working knowledge of automotive systems, and diagnostic ability to include: Ignition, internal engine, suspension, brakes, electronic, exhaust, etc.

•       Speak and write English (Spanish a plus)

•       The Ability to communicate effectively and build strong relationships with customers, peers and management

•       Ability to read and interpret documents such as P&L, safety rules, operating and maintenance instructions, parts catalogs, and procedure manuals; ability to write simple correspondence

•       Understand and execute instructions furnished in written, oral, or diagram form

•       Successfully complete the Parts Knowledge Assessment

•       Use basic math accurately: add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals

•       Familiarity with the Microsoft Office Suite (i.e. Word, Excel)

•       Strong organizational skills

•       Understand Commercial profitability concepts, including knowledge of competition, market opportunities, and customer prioritization (may work with the Commercial Account Manager to determine pricing discounts for specific Commercial customers)

•       Ability to work an assortment of days, evenings, and weekends as neededA minimum of 3 years of prior automotive parts experience preferredProven sales ability with past experience in fulfillment of customer transactionsHigh school diploma or general education degree (GED)ASE certification preferred, but not requiredThe physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee will predominantly be walking or standing. The employee is required to be able to talk and hear, and use hands and fingers to handle or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, depth perception, and ability to adjust focus.The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee is usually working inside; however, they will occasionally be outside and exposed to various weather conditions while performing such tasks as installing batteries and wiper blades. The employee is also occasionally exposed to moving mechanical parts; high, precarious places; toxic or caustic chemicals; risk of electrical shock; explosives; and vibration. The noise level in the work environment is usually moderate.
Think you're the perfect candidate?AAPRTL
Think you're the perfect candidate?",Full-Time,"Pagosa Springs, CO",https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default2-bd8c6d17bb86a865779a69ea7731fd5bb86183b048a23de8a664038f54eba104.png,#Brakes#Suspension (Vehicle)#Customer Service#Customer Retention#Selling Techniques#Spanish Language,Commercial Parts Pro
https://www.careerbuilder.com/job/J3R2Z66KT640Z158CN1?ipath=CRJR17,Interim HealthCare," is currently hiring  for our Pike County Ohio office.  Why work for ?Here is what we offer to our :Here's what some of our  say about working for  EOEAre members of the interdisciplinary team who provide hands-on personal care, report changes in the patient’s/client’s condition, perform simple procedures as an extension of therapy or nursing services, and provide incidental/instrumental activities of daily living as assigned to patients/clients in the home setting as permitted by the policies and procedures of Interim HealthCare and any other federal, state and local law or regulation.            OR    
Think you're the perfect candidate?
Think you're the perfect candidate?Weekly payWeekend DifferentialVacation Pay Employee incentive programFamily AtmosphereFlexibile schedules$300.00 sign on bonus to employees hired in response to this ad.""It feels like family""""They really care about their employees and patients""""This is the best company I have ever worked for"".Eighteen (18) years of age or older.Six (6) months of experience in healthcare or completion of the Office's preceptor program.A school of nursing student in the last year of a program  has documentation from the school of successful demonstration of personal care aide skills  graduate RN or LPN/LVN with proof of graduationSuccessfully completed:A specific aide training andcompetency evaluation program as required by State and the federal regulations (42 CFR §484.80); An aide competency evaluation program as required by State and the federal regulations (42 CFR §484.80); A nurse aide training and competency evaluation program approved by State and meets the requirements of the federal regulations (§483.151 through §483.154) and is currently listed in good standing on the state nurse aide registry; The requirements of a state licensure program that meets training andcompetency evaluation provisions per State and the federal regulations (42 CFR §484.80);Has not had a lapse in work for compensation for the period of 24 consecutive months as a home health aide or nurse aide.If there has been a 24-month lapse in furnishing services for compensation, the individual must successfully complete another program, as specified above in this section, before providing services.Two (2) positive referencesEvidence of passing a home health aide written knowledge exam.Pass state required criminal and abuse background checks where required.Able to effectively communicate in English with all levels of the workforce, both clinical and non-clinical Able to effectively communicate, including the ability to read, write, and verbally report clinical information to patients, patient representatives (if any), patient’s caregivers and family, and agency staff. Able to perform and prioritize multiple tasks or functions.Able to provide proof of valid driver's license, if applicable.Able to provide proof of valid auto liability insurance if assignment(s) include driving own vehicle to transport patient.Able to constantly travel within geographic area serviced by office from assignment to assignment.Meets the applicable health requirements to provide patient care per applicable law or regulation.Work is normally performed in patient’s home.Occasional exposure to communicable diseases, bloodborne pathogens and/or other potentially infectious or hazardous materials and situations that require following extensive safety precautions and may include the use of protective equipment (e.g. face masks, goggles, latex and or non-latex gloves).Able to constantly stand, bend, stoop, squat, kneel and reach freely.Able to frequently lift, reposition, and transfer clients/patients.Able to frequently carry bundles such as groceries and laundry up or down stairs and lift with or without assistance.   Able to constantly grasp with thumb in opposition to fingers of palm (i.e. DME supplies, knobs or objects).Able to read 8 point or larger type. Medium physical activity that may require frequent lifting, carrying, pushing or pulling up to 50 lbs.",Part-Time, OH,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default1-7df719a90b0e2258adfb41fbed2276da603bf1204f7b44d20bcd874c2e3f2c63.png,#Licensed Practical Nurse#Licensed Vocational Nurses#Registered Nurse Certified#Personal Care#Nursing#Scheduling,Home Health Aide
https://www.careerbuilder.com/job/J3P42077989G6W8LZ1P?ipath=CRJR14,Advance Auto Parts,"
Think you're the perfect candidate?We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.This job posting is for any of the store hourly positions below:Store DriverSalespersonSales ProRetail Parts ProCommercial Parts ProManager in TrainingAssistant Store ManagerWhat is a Store Driver?Entry level store position capable of supporting delivery of parts to commercial customers. The role has the responsibility to deliver parts to our commercial customers and assist with task and inventory processes in the store. This position can be part time or full time.  Must be able to drive and pass Advance’s driving certification requirements.What is a Salesperson?Entry level sales position capable of supporting the DIY business and achieve our sales and service objectives.  The role has good knowledge of store systems, basic automotive system knowledge and basic part knowledge.  The role has the basic ability to source from stores, hubs, pdq, and external suppliers. The role has in-depth knowledge of the store inventory and maintenance processes.  Position can be part time or full time. Being able to drive preferred.What is a Sales Pro?Advanced level DIY sales position with expert knowledge of DIY business. The role has expert knowledge of store operations, advanced automotive system knowledge and parts knowledge. This role is responsible for providing advanced automotive problem resolution including identification, trouble shooting and project assistance for DIY customers. The role has the ability to source from numerous places including special order, FDO, second source, etc. The role has in-depth knowledge of the store inventory and maintenance processes. Being able to drive preferredWhat is a Retail Parts Pro?Professional level sales position capable of supporting advanced functions of the DIY business. The role has expert knowledge of store systems, advanced automotive system knowledge and part knowledge. This role has the ability for advanced identification, trouble shooting and project assistance for DIY customers. The role has the ability to source from numerous places including special order, FDO, second source, etc. The role has in-depth knowledge of the store inventory and maintenance processes. Position is full time. Being able to drive preferredWhat is a Commercial Parts Pro?Professional level sales position capable of supporting advanced functions for both DIY and DIFM. The role has expert knowledge of store systems, advanced automotive system knowledge and part knowledge. This role has the ability for advanced identification, trouble shooting and project assistance for DIY/DIFM customers. The role has the ability to source from numerous places including special order, FDO, second source, etc. The role has in-depth knowledge of the store inventory and maintenance processes. Position is full time. Being able to drive preferredWhat is a Manager in Training (MIT)?Professional level sales and entry level management position responsible for supporting basic and advance functions on DIY and professional business. The role has knowledge of store systems, advance automotive system knowledge and parts knowledge, and has ability for identification, trouble shooting and project assistance for DIY customers. The role has in-depth knowledge of the store inventory and maintenance processes. The role owns responsibility for maintaining company standards around operating and product processes. MIT role is a developmental position to prepare for a General Manager role. The time in role should minimally be 6 months and is not recommended to exceed 1 year. MITs will participate in the GM learning journey. MITs must have the flexibility and desire to interview for and accept an open role within the district, region, or area based on business needs (vacancies, inventories, etc.). The MIT position is only full time. Being able to drive preferredWhat is an Assistant Store Manager?Our Assistant Store Managers lead and direct with their knowledge of store systems and expert knowledge of automotive systems and parts. They are the “go to' experts for parts identification, trouble shooting and project assistance for Advance Auto Parts customers.  Being able to drive preferred
Think you're the perfect candidate?",Full-Time,"Pagosa Springs, CO",https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,#Management#Retailing#Sales#Operations#Maintenance,Store Hourly
https://www.careerbuilder.com/job/J3S2886TB89JMZLT3T9?ipath=CRJR18,Interim HealthCare," is looking for a  to join our growing team to attend school with a child for Fall 2020. Due to the ever changing school structures, home-bound care will also be provided. Allowing for 5 days a week coverage.Full Time | Monday through Friday | 8 AM to 2:30 PM | Scranton, pa $25.00 / hour
Think you're the perfect candidate?
Think you're the perfect candidate?Administer medications according to established medication administration principles, physician orders and facility policy and procedures.Provide direct care to patients with a wide variety of diagnoses, conditions, and diseasesReview, interprets, transcribes and carries out physician ordersAssesses, plan, implement and evaluate the care provided to all patients assigned.Recognize changing patient conditions and emergency situations and appropriately intervene.Collaborate with Clinical Supervisor concerning patients’ medical records as neededLicensed Practical Nurse with active, unrestricted license in the state of PennsylvaniaOne (1) year of experience in healthcare; home care, home health, hospital, and/or long-term care environment preferredCurrent CPR CertificationPediatric Experience preferred",Full-Time, GA,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,#Clinical Works#Home Care#Licensed Practical Nurse#Long Term Care#Emergency Handling#Diseases And Disorders,Licensed Practical Nurse (LPN) | School Setting
https://www.careerbuilder.com/job/J3S36Y6TRDK9HWBG2LM?ipath=CRJR20,Guaranteed Rate,"
Think you're the perfect candidate?
Job Description About Guaranteed Rate:Guaranteed Rate is the 5th largest retail mortgage lender in the U.S. By offering industry-leading tools, low-rate mortgages and unparalleled customer service, we’ve become the Home Purchase Experts®. At Guaranteed Rate, we think big—pushing beyond what most people believe is possible. We strive to work with the best of the best, building business with the best referral partners and hiring the best employees—allowing us to deliver world-class customer service. Our goal is to make sure every customer has a great experience. Headquartered in Chicago with 5,000+ employees in 300+ offices across the U.S. and licensed in all 50 states, we’ve helped thousands of homeowners with more than $37 billion in home purchase loans and refinances in just the past year alone. We are currently seeking a hard-working, dedicated Mortgage Loan Closer to join our innovative and passionate team. Responsibilities: 
Think you're the perfect candidate?",Full-Time, GA,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,#Authorization (Medical)#Authorization (Computing)#Magic#Encompass#Mortgage Loans#Hardworking And Dedicated,Mortgage Loan Closer/Funder- Remote
https://www.careerbuilder.com/job/J3S3QY6Z57B4RFH74PH?ipath=CRJR19,Guaranteed Rate,"
Think you're the perfect candidate?
About Guaranteed Rate: Guaranteed Rate is the 5th largest retail mortgage lender in the U.S. By offering industry-leading tools, low-rate mortgages and unparalleled customer service, we’ve become the Home Purchase Experts®. At Guaranteed Rate, we think big—pushing beyond what most people believe is possible. We strive to work with the best of the best, building business with the best referral partners and hiring the best employees—allowing us to deliver world-class customer service. Our goal is to make sure every customer has a great experience. Headquartered in Chicago with 5,000+ employees in 300+ offices across the U.S. and licensed in all 50 states, we’ve helped thousands of homeowners with more than $37 billion in home purchase loans and refinances in just the past year alone. What's the Role? Guaranteed Rate is currently seeking a hard-working, dedicated Loan Coordinator (Loan Processor) to join our innovative and passionate team. Responsibilities: 
Think you're the perfect candidate?",Full-Time, GA,https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default4-2f7ce52a07392fe81b1f18d06df6e62b632c9488b16d620bbc81654c18edb2fd.png,#Hardworking And Dedicated#Mortgage Loans#Underwriting#Scheduling#Loans#Attention To Detail,Mortgage Loan Processor
https://www.careerbuilder.com/job/JD61LW5YQ7GNTVMQT6Z?ipath=CRJR16,Buffalo Wild Wings,"
Think you're the perfect candidate?
Think you're the perfect candidate?",Full-Time,"Strongsville, OH",https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,#Customer Service#Inventory Control#Money Management#Restaurant Operation#Staff Management,Restaurant Manager
https://www.careerbuilder.com/job/JD78B1737PP31TC09Y9?ipath=CRJR15,Symmetry Financial Group,"
Think you're the perfect candidate?
Think you're the perfect candidate?",Full-Time,"Buena Park, CA",https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default1-7df719a90b0e2258adfb41fbed2276da603bf1204f7b44d20bcd874c2e3f2c63.png,#Training#Recruitment#Mortgage Loans#Passionate#Social Skills#Team Building,"Insurance  Agent-Great Income, Work From Home, Finally Achieve Work/Life Balance"
https://www.careerbuilder.com/job/J3M5P76MHY261BQH947?ipath=CRJR12,Advance Auto Parts,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.What is a Store Driver?Entry level store position capable of supporting delivery of parts to commercial customers. The role has the responsibility to deliver parts to our commercial customers and assist with task and inventory processes in the store. This position can be part time or full time and must be fleet safety certified.Primary Responsibilities• Safely deliver parts to customers as needed• Pick and stage parts for customer orders• Pick up returns and cores• Drop off weekly / monthly sales flyer• Daily collection of credit accountsSecondary Responsibilities• Store Cleanliness including floors, bathrooms, facing, dusting, parking lot• General stocking including truck stocking and back stockSuccess Factors• Basic driving and navigation ability• Ability to use delivery board system• Friendly communication• Ability to locate and stock parts• Safety knowledge and skills• Operating inventory systems (Back stock) and store equipmentEssential Job Skills Necessary for Success as a Driver• Communicate effectively and build strong relationships with customers, peers and management• Read and interpret documents such as safety rules, operating and maintenance instructions, parts catalogs, and procedure manuals• Use basic math accurately: add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals• Ability to work an assortment of days, evenings, and weekends as neededPrior Experience that Sets a Driver up for SuccessAutomotive parts experience is preferredCertificates, Licenses, RegistrationsMust have a valid driver's license and be fleet safety certifiedPhysical DemandsThe physical demands and work environment described here are representative of those that must be met by an employee to successfully perform the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee will predominantly be walking or standing. The employee is required to be able to talk and hear, and use hands and fingers to handle or feel; reach with hands and arms; climb or balance; and stoop, kneel, crouch, or crawl. The employee must frequently lift and/or move up to 50 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, depth perception, and ability to adjust focus.Work EnvironmentThe work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job, with or without reasonable accommodation. While performing the duties of this job, the employee is usually working inside; however, they will occasionally be outside and exposed to various weather conditions while performing such tasks as installing batteries and wiper blades. The employee is also occasionally exposed to moving mechanical parts; high, precarious places; toxic or caustic chemicals; risk of electrical shock; explosives; and vibration. The noise level in the work environment is usually moderate.We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age national origin, religion, sexual orientation, gender identity, status as a veteran and basis of disability or any other federal, state or local protected class.
Think you're the perfect candidate?
Think you're the perfect candidate?",Part-Time,"Pagosa Springs, CO",https://d1d8tdgb57avhs.cloudfront.net/assets/us/company_hero/default3-dda8ce02d819e5cf6b0502863c9fa6a8041345990c1dbcbcc5c1732b6731a5c1.png,#Navigation#Management#Cataloguing#Driving#Accounting Record Management System,delivery driver
